Parent Link (ID URL),Child Link (ID URL)
,127: https://www.fbg.uni-hannover.de/de/forschung/interdisziplinaere-forschungsverbuende
,128: https://www.fbg.uni-hannover.de/de/forschung/dfg-programme
,129: https://www.fbg.uni-hannover.de/de/forschung/promotion-und-habilitation
,130: https://www.fbg.uni-hannover.de/de/fakultaet/news-veranstaltungen/news/aktuelles-detailansicht/news/neuer-forschungsschwerpunkt-energieforschung
,131: https://www.fbg.uni-hannover.de/de/studium/studienangebot-der-fakultaet/geodaesie-und-geoinformatik#c120179
,132: https://www.fbg.uni-hannover.de/de/fakultaet/news-veranstaltungen/news/aktuelles-detailansicht/news/luh-studierendenbefragung-2024
,133: https://www.fbg.uni-hannover.de/de/fakultaet/news-veranstaltungen/news/aktuelles-detailansicht/news/geowerkstatt-mai-digitale-smart-village-konzepte
,134: https://www.fbg.uni-hannover.de/de/fakultaet/news-veranstaltungen/news/aktuelles-detailansicht/news/brueckenschlag-zwischen-wissen-und-innovation-3-chinesisch-deutscher-workshops-zur-zuverlaessigkeit-komplexer-systeme
,135: https://www.fbg.uni-hannover.de/de/fakultaet/news-veranstaltungen/news
,136: https://www.fbg.uni-hannover.de/de/fakultaet/news-veranstaltungen/veranstaltungen/veranstaltungen-detailansicht/news/ideenexpo-2024
,137: https://www.fbg.uni-hannover.de/de/fakultaet/news-veranstaltungen/veranstaltungen/veranstaltungen-detailansicht/news/machine-learning-as-a-tool-to-map-the-world-on-remote-sensing-and-predictive-modelling-for-enviro-1-3-1-2-1-6-1
,138: https://www.fbg.uni-hannover.de/de/fakultaet/news-veranstaltungen/veranstaltungen/veranstaltungen-detailansicht/news/hochschulinformationstage-2024
,139: https://www.fbg.uni-hannover.de/de/fakultaet/news-veranstaltungen/veranstaltungen
,140: https://studip.uni-hannover.de
,141: https://qis.verwaltung.uni-hannover.de/qisserver/rds?state=wtree&search=1&menuid=lectureindex
,142: https://www.uni-hannover.de/de/studium/semestertermine
,143: https://standortfinder.uni-hannover.de/de
,144: https://www.tu9.de
,145: https://www.hochschulverband.de
,146: https://www.chancenvielfalt.uni-hannover.de/de/familienservice
,147: https://www.facebook.com/FakultaetBauUndGeoUniHannover
,77: https://www.uni-hannover.de/de/copyright
,148: https://www.fbg.uni-hannover.de/de/impressum
,79: https://www.uni-hannover.de/de/datenschutzerklaerung
,149: https://www.fbg.uni-hannover.de/de/barrierefreiheit
,150: https://www.fbg.uni-hannover.de/de/sitemap
,151: https://www.fbg.uni-hannover.de/de?tx_luhwebsite_mobilenav%5Baction%5D=show&tx_luhwebsite_mobilenav%5Bcontroller%5D=OffCanvas&tx_luhwebsite_mobilenav%5Buid%5D=127&type=1513087837&cHash=1c29742fbbba028a7756d211aeda8e92
,152: https://www.fbg.uni-hannover.de/de?tx_luhwebsite_mobilenav%5Baction%5D=show&tx_luhwebsite_mobilenav%5Bcontroller%5D=OffCanvas&tx_luhwebsite_mobilenav%5Buid%5D=72&type=1513087837&cHash=1dd246cb84519393827e95129034e09c
,153: https://www.fbg.uni-hannover.de/de?tx_luhwebsite_mobilenav%5Baction%5D=show&tx_luhwebsite_mobilenav%5Bcontroller%5D=OffCanvas&tx_luhwebsite_mobilenav%5Buid%5D=55&type=1513087837&cHash=57ecf913d2304ebfeaa22b35cc01cce9
4: https://www.fei.uni-hannover.de/de,
,1: https://www.uni-hannover.de/de
,154: https://www.ims.uni-hannover.de/de
,155: https://www.ial.uni-hannover.de/de
,156: https://www.etp.uni-hannover.de/de
,157: https://www.ifes.uni-hannover.de/de
,158: https://www.geml.uni-hannover.de/de
,159: https://www.mbe.uni-hannover.de/de
,160: https://www.irt.uni-hannover.de/de
,161: https://www.itsec.uni-hannover.de/de
,162: https://www.ai.uni-hannover.de/de
,163: https://www.pi.uni-hannover.de/de
,164: https://www.ise.uni-hannover.de/de
,165: https://www.thi.uni-hannover.de/de
,166: https://www.idas.uni-hannover.de/de
,167: https://www.hft.uni-hannover.de/de
,168: https://www.tnt.uni-hannover.de
,169: https://www.ikt.uni-hannover.de/de
,170: https://www.dei.uni-hannover.de/de
,171: https://www.fei.uni-hannover.de/de/kontakt-1
,172: https://www.fei.uni-hannover.de/de/fakultaet
,173: https://www.fei.uni-hannover.de/de/fakultaet/profil
,174: https://www.fei.uni-hannover.de/de/fakultaet/beauftragte
,175: https://www.fei.uni-hannover.de/de/fakultaet/leitung-organisation
,176: https://www.fei.uni-hannover.de/de/fakultaet/personenverzeichnis/results/eyJsYW5nIjowfQ==?cHash=03c4208d2fe71b99675eb85e743630e6
,177: https://www.fei.uni-hannover.de/de/fakultaet/institute-fachgebiete
,178: https://www.fei.uni-hannover.de/de/fakultaet/historie-der-fakultaet
,179: https://www.fei.uni-hannover.de/de/fakultaet/gremien-kommissionen
,180: https://www.fei.uni-hannover.de/de/fakultaet/fakultaetsinterne-informationen
,181: https://www.fei.uni-hannover.de/de/studium
,182: https://www.fei.uni-hannover.de/de/studium/vor-dem-studium
,183: https://www.fei.uni-hannover.de/de/studium/auslandssemester
,184: https://www.fei.uni-hannover.de/de/studium/im-studium
,185: https://www.fei.uni-hannover.de/de/studium/nach-dem-studium
,186: https://www.fei.uni-hannover.de/de/studium/studien-lehrqualitaet
,187: https://www.fei.uni-hannover.de/de/forschung
,188: https://www.fei.uni-hannover.de/de/forschung/forschungsschwerpunkte
,189: https://www.fei.uni-hannover.de/de/forschung/habilitation
,190: https://www.fei.uni-hannover.de/de/forschung/aktuelle-projekte
,191: https://www.fei.uni-hannover.de/de/forschung/uebergreifende-forschungseinrichtungen
,192: https://www.fei.uni-hannover.de/de/forschung/promotion
,193: https://www.fei.uni-hannover.de/de/aktuelles
,194: https://www.fei.uni-hannover.de/de/aktuelles/news
,195: https://www.fei.uni-hannover.de/de/aktuelles/deans-list-auszeichnung
,196: https://www.fei.uni-hannover.de/de/aktuelles/veranstaltungen
,197: https://www.fei.uni-hannover.de/de/tdf
,198: https://www.fei.uni-hannover.de/de/aktuelles/sitzungstermine
,199: https://www.fei.uni-hannover.de/de/aktuelles/termine-promotionen
,200: https://www.fei.uni-hannover.de/de/aktuelles/news/aktuelles-detailansicht/news/double-degree-computer-science-logic-and-computation-mit-der-tu-wien
,201: https://www.fei.uni-hannover.de/de/aktuelles/news/aktuelles-detailansicht/news/gastvortraege-der-mikroelektronik-im-sommersemester-2024
,202: https://www.uni-hannover.de/de/universitaet/aktuelles/online-aktuell/details/news/neuer-forschungsschwerpunkt-energieforschung-an-der-leibniz-universitaet-hannover
,203: https://www.fei.uni-hannover.de/de/aktuelles/deans-list-auszeichnung#c75636
,204: https://www.fei.uni-hannover.de/de/aktuelles/news/aktuelles-detailansicht/news/preis-fuer-studentisches-projekt-gluecksklee
,205: https://www.fei.uni-hannover.de/de/studium/vor-dem-studium/angebote-fuer-schueler-innen
,206: https://www.fei.uni-hannover.de/de/studierende
,207: https://www.fei.uni-hannover.de/de/fakultaet/gremien-kommissionen/pruefungsausschuesse
,140: https://studip.uni-hannover.de
,141: https://qis.verwaltung.uni-hannover.de/qisserver/rds?state=wtree&search=1&menuid=lectureindex
,208: https://modkat.dbs.uni-hannover.de/modkat/lvk
,209: https://www.fei.uni-hannover.de/de/studium/vor-dem-studium/start-ins-studium
